RRI_A,RRI_C,RRI_D,RRI_E,RRI_F,RRI_G,RRI_H,RRI_I,RRI_K,RRI_L,RRI_M,RRI_N,RRI_P,RRI_Q,RRI_R,RRI_S,RRI_T,RRI_V,RRI_W,RRI_Y
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.33,0.0,0.0
0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.67,1.0,1.0,1.0,0.0,0.0
1.0,1.0,1.0,1.0,1.67,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,1.0,1.67,0.0,0.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4,0.0,1.0,1.0,1.0,1.0
1.0,1.67,1.0,0.0,1.0,1.0,0.0,1.0,2.0,2.2,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.67,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.67,1.0,1.0,0.0,1.0,1.4,0.0,0.0,1.0,1.0,1.0,0.0,0.0
1.0,1.5,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0
1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.33,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0.0,1.0,1.0,1.67,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.67,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
1.0,1.0,1.0,0.0,1.0,1.67,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,1.0,2.0,1.0,1.0,1.67,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.67,1.0,1.0,1.0
0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.33,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.4
0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.5,1.0,1.67,1.0,1.0
0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.57
1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.0,1.0,1.0,1.0,1.67,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.5,0.0,0.0,1.0,1.0,1.0
1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.4,1.0
0.0,1.0,1.0,1.0,1.67,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.5,1.0,1.0,2.0,1.0
1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.5
0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.67,1.0,1.0,1.5,1.0,0.0,1.4,1.0,0.0,1.0,1.0
1.0,1.0,1.0,1.67,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.5,1.0,0.0,0.0,1.0
0.0,0.0,1.0,1.0,1.0,2.5,0.0,1.5,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.5
1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.5,0.0,1.0,1.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.67,1.0,0.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.67
1.67,0.0,2.2,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.67,1.0,0.0,1.0,1.0,1.4,1.0,2.0,0.0
1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.4,1.0,1.0,1.0,1.0,1.67,1.0,1.0,1.0,1.0,1.0
0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,0.0,1.0,0.0
0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.5,1.0,1.0,1.33,1.0,0.0,1.0,0.0
0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
0.0,1.5,0.0,0.0,1.0,1.0,0.0,1.4,1.0,0.0,1.0,1.0,0.0,0.0,1.67,1.0,1.0,1.5,1.0,1.0
0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.4,0.0,0.0,1.0,1.0,0.0,1.0,1.0
1.67,1.0,1.0,1.0,0.0,1.0,1.0,1.67,0.0,1.0,0.0,0.0,1.67,1.0,1.0,0.0,0.0,1.67,1.0,1.0
1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
0.0,1.0,1.5,1.0,1.0,1.0,2.5,1.0,0.0,1.0,1.0,2.14,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.67,1.0,0.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.67,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
1.0,0.0,1.0,1.0,1.86,1.0,0.0,1.0,0.0,1.0,1.5,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.67,1.5,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,3.4,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.5,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.0,1.33,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
1.0,1.5,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.2,1.0,0.0,1.0,1.0,1.0
1.67,0.0,1.0,0.0,1.0,1.0,1.0,1.5,1.67,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.5,0.0,1.0
0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
1.0,0.0,0.0,1.0,1.5,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
1.0,1.0,1.67,1.67,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0
1.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.67,0.0,0.0,1.0,1.0,1.0
1.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
0.0,0.0,1.0,1.67,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.67
1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,0.0,1.0,1.0,0.0,1.4,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.67,1.0,0.0,0.0
1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.56,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.8,1.0,1.0,1.0
1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
0.0,0.0,0.0,1.0,1.0,2.71,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
0.0,1.0,1.67,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.5,1.0,1.0,1.0,0.0,1.0,1.0
1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.67,1.0,1.4,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,1.67,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4,1.0,0.0,0.0,1.0,1.0
1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.5,1.0,1.0,0.0,1.0
2.0,0.0,1.0,1.0,1.5,1.0,1.0,1.0,2.0,0.0,1.0,1.67,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.2
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.5,0.0,1.0,0.0,1.0
1.0,1.0,1.67,0.0,1.67,0.0,1.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0
1.0,0.0,2.5,1.0,1.0,1.0,0.0,1.33,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.67,0.0,1.5,0.0,0.0
1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0
1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.67,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
1.0,0.0,1.0,1.0,0.0,1.4,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
1.0,1.0,0.0,0.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.4,1.0,1.0,1.0,1.67,1.0,0.0,1.0,1.0,0.0,1.0
0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.67,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4,0.0
3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.67,0.0,1.0,1.0,1.0,0.0,0.0
1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.67,1.0,1.0,1.0,1.5,0.0,1.0,0.0
0.0,0.0,1.0,1.0,1.0,1.33,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.5,1.0,1.0,2.0
0.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
0.0,1.0,1.0,0.0,1.0,1.67,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.5,1.0,1.0
0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
0.0,1.0,2.0,0.0,1.67,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
0.0,1.0,1.0,0.0,1.0,1.67,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
1.0,1.0,1.5,1.67,1.0,1.0,0.0,1.0,0.0,3.0,1.0,1.67,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.67,1.0,1.0
1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0
1.0,1.0,0.0,0.0,0.0,1.0,1.29,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.5,1.0,0.0,1.0,1.0,0.0,1.0
0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.4,1.0,1.0,1.5,1.0,1.67,1.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
0.0,1.0,1.0,1.0,1.67,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.14,0.0,0.0,1.0
1.67,0.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,1.4,1.67,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.67,1.0,1.0,2.2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.67,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.33,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.4,1.0,1.0,0.0
0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.4,0.0,1.0,0.0,1.0
1.0,1.0,1.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.5,1.0,0.0,1.0,0.0,1.0
1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4
1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.5,0.0,1.0,1.0,0.0,2.5,2.0,0.0,1.0,1.0,0.0,1.5,1.0
1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.67,1.33,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.67,1.0,1.0,0.0,1.0,0.0,0.0,1.4,1.0,0.0,1.0,1.0,1.0
1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
0.0,0.0,1.67,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.5,1.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.67,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
1.0,0.0,1.0,1.0,1.67,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,1.67,1.0,0.0,0.0
1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0,1.5,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
1.0,0.0,1.0,1.67,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.67,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,1.5,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0
1.8,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,0.0,0.0,1.0
0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.67,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.5,1.0,1.4
0.0,1.0,1.0,2.5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.29,1.0,1.0,1.0,0.0
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,1.67,1.0,1.0,1.0,0.0,1.0,1.0
0.0,1.67,1.0,1.0,1.0,1.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.67,1.0,1.0,1.0,1.0,1.0,0.0
0.0,1.67,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.67,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0
0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.4,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
2.0,1.0,1.0,1.0,1.67,1.0,1.0,1.0,0.0,1.0,1.0,1.67,1.0,0.0,1.0,1.0,1.5,1.5,0.0,0.0
0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.67,1.5,1.0,1.0,1.0
0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
0.0,1.0,1.0,1.0,2.2,1.67,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.67,1.0,0.0,1.0,2.0
1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,0.0,1.0,1.0,1.4,1.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4,1.0,1.0,1.67,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
0.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0
